Player,Hierarchy,Champ1,Champ1*,Champ2,Champ2*,Champ3,Champ3*,Champ4,Champ4*
The_Jachal,Leader,Captain America*,4,Iron Man*,4,Dr Strange*,4,Winter Soldier*,4
akash_512,Officer,Wolverine*,4,Black Bolt*,4,Spiderman*,4,Iron Man,5
Caesar Royale,Officer,Colossus*,4,Scarlet Witch*,4,Magik*,4,Thor*,4
mumblebumble,Officer,Captain America WW2,4,Rocket Raccoon*,4,Black Bolt*,4,Colossus,4
Czakobmx,Officer,Hulkbuster*,4,Superior Iron Man*,4,Dr Strange,4,Ms Marvel*,4
Chillingss,Officer,Captain America WW2,4,Venom,4,Starlord*,4,Guillotine,4
Blaizemeister,Officer,Thor,4,Ms Marvel*,4,Magneto Marvel Now,4,Guillotine,4
The MsssA,Officer,Moon Knight,4,Ms Marvel*,4,Ultron,4,Colossus,4
Chrisslabbert20,Officer,Black Widow,4,Superior Iron Man*,4,Wolverine*,4,Ultron,4
league of galax,Officer,Hulk*,4,Hawkeye*,4,Captain America WW2,4,Black Widow,4
worm1112,Member,Dr Strange*,4,Winter Soldier*,4,Colossus,4,Scarlet Witch*,4
M-Adel,Member,Superior Iron Man,4,Elektra,4,Wolverine,4,Cyclops,5
viver21,Member,Punisher*,4,Storm,4,Juggernaut,4,Elektro*,3
Sarelo,Member,Ultron*,4,Daredevil*,4,Yellowjacket*,4,Superior Iron Man,4
Lord Shabz,Member,Warmachine*,4,Scarlet Witch*,4,Juggernaut*,4,Yellowjacket,4
Jayw974,Member,Daredevil*,4,Black Widow*,4,Wolverine*,4,Hulkbuster,4
jct22,Member,Wolverine,4,Rocket Raccoon*,4,Deadpool X-Force,4,Yellowjacket,4
Jannel1984,Member,Starlord*,4,Winter Soldier*,4,Black Widow,4,Ultron,4
LoganManoj,Member,Ultron,4,Superior Iron Man,4,Guillotine,4,Daredevil,4
DojoBreaker,Member,Gamora*,4,Storm,4,Drax,4,Venom,4
Rusty Judas,Member,Black Widow,4,Deadpool X-Force,4,Captain America,4,Iron Fist,4
Blood Bullet,Member,Wolverine,4,Unstoppable Colossus*,3,Ultron*,3,Captain Marvel*,3
Zizzou22,Member,Hulkbuster,4,Ultron,4,Rocket Raccoon*,3,Venom*,3
RoyalC,Member,Colossus*,4,Magneto Marvel Now,4,Punisher,4,Magik,4
123Fu2,Member,Ultron,4,Daredevil,4,Dr Strange,4,Joe Fixit,4
Dead is the Ben,Member,Scarlet Witch,4,Colossus*,3,Hawkeye,4,The Vision,4
Abdallah222,Member,Rocket Raccoon,4,Colossus,4,Symbiote Spiderman,3,Juggernaut,3
Tiny3001,Member,Symbiote Spiderman,4,Rocket Raccoon*,3,Elektra*,3,Juggernaut,4
Zativity,Member,Captain America WW2,4,Black Widow,4,Daredevil Netflix,4,Elektra,4
sibani.lee,Member,Captain America WW2*,3,Daredevil*,3,Ronan*,3,Colossus,3
